"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","image_group","rt","stimulus","response","image_name","word_count"
"true","false","[]","[]","[]","preload","0","1415","0.0-0.0","4","","","","",""
"","","","","","html-button-response","1","6405","0.0-1.0","4","4988","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","0","",""
"","","","","","html-button-response","2","19931","0.0-2.0","4","13524","
        <h2 style=""text-align:center;"">
        Instructions: Sentence Production Experiment
        </h2>
        <div style=""max-width:700px; text-align:left; margin:auto;"">

          <p>
            We ask that you try to use complete sentences with a subject and a verb.
            For example, ""A dog is sitting on a porch."" instead of ""a dog on a porch"",
            or ""The children are playing happily."" instead of ""Happy children"". Please use at least 5 words.
          </p>

          <div style=""text-align:center; margin:20px 0;"">
            <img src=""stimuli/instructions_example.png"" width=""600"">
          </div>

          <p>
            Please make sure you understand these instructions and are able to follow
            them in every question. Do not complete this survey if you do not understand.
          </p>

          <p>
            You will not get paid if your answers do not follow the instructions
            (for example, if you write things unrelated to the image or write the same
            thing such as ""a nice picture"" for each image).
          </p>

          <p>
            Please click ""next"" when you are ready to begin.
          </p>

        </div>
      ","0","",""
"","","","","","html-button-response","3","33498","0.0-3.0-0.0","4","","","A teacher is explaining scientific principles.","flickr30_image_858.jpg","6"
"","","","","","html-button-response","4","48748","0.0-3.0-0.1","4","","","A woman in an ECV is waiting next to a building as a man walks by.","flickr30_image_3495.jpg","16"
"","","","","","html-button-response","5","54647","0.0-3.0-0.2","4","","","Two children are playing marbles.","flickr30_image_3789.jpg","5"
"","","","","","html-button-response","6","65265","0.0-3.0-0.3","4","","","A young man is leaning on his arm and thinking.","flickr30_image_938.jpg","10"
"","","","","","html-button-response","7","74516","0.0-3.0-0.4","4","","","A family is smiling inside their home.","flickr30_image_2938.jpg","7"
"","","","","","html-button-response","8","83517","0.0-3.0-0.5","4","","","Three men sit around vegetables in an outdoor market.","flickr30_image_975.jpg","9"
"","","","","","html-button-response","9","94414","0.0-3.0-0.6","4","","","Workers are taking a break while building some sort of rail.","flickr30_image_3022.jpg","11"
"","","","","","html-button-response","10","103481","0.0-3.0-0.7","4","","","Kids are partaking in a gym or dance class.","flickr30_image_3721.jpg","9"
"","","","","","html-button-response","11","124365","0.0-3.0-0.8","4","","","Three kids are standing: one on the ground, one on the middle part of a fence and one on the top of the fence.","flickr30_image_3611.jpg","24"
"","","","","","html-button-response","12","132548","0.0-3.0-0.9","4","","","Many people are enjoying an indoor gathering.","flickr30_image_3222.jpg","7"
"","","","","","html-button-response","13","141548","0.0-3.0-0.10","4","","","People are walking up a very long, steep staircase.","flickr30_image_601.jpg","9"
"","","","","","html-button-response","14","153715","0.0-3.0-0.11","4","","","A person is reading while standing in a subway car.","flickr30_image_3294.jpg","10"
"","","","","","html-button-response","15","166032","0.0-3.0-0.12","4","","","Two men are scraping a design into a giant block of ice.","flickr30_image_3432.jpg","12"
"","","","","","html-button-response","16","181699","0.0-3.0-0.13","4","","","A man is outside selling eggs and chickens that may or may not be dead, but they have their feathers.","flickr30_image_521.jpg","20"
"","","","","","html-button-response","17","196166","0.0-3.0-0.14","4","","","Two men are in a yellow Penske truck. ","flickr30_image_3076.jpg","8"
